country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
Singapore,2020-07-16,47126,43256,27,248,Singapore,SGP
Israel,2020-07-16,46059,20370,384,1871,Israel,ISR
Poland,2020-07-16,39054,28928,1605,333,Poland,POL
Bahrain,2020-07-16,35084,30809,121,524,Bahrain,BHR
Afghanistan,2020-07-16,35070,22824,1113,76,Afghanistan,AFG
Romania,2020-07-16,35003,22189,1971,777,Romania,ROU
Nigeria,2020-07-16,34854,14292,769,595,Nigeria,NGA
Armenia,2020-07-16,33559,21931,607,554,Armenia,ARM
Switzerland,2020-07-16,33290,29900,1969,142,Switzerland,CHE
Guatemala,2020-07-16,32939,4807,1404,865,Guatemala,GTM
Honduras,2020-07-16,30867,3420,835,831,Honduras,HND
Azerbaijan,2020-07-16,26165,17256,334,493,Azerbaijan,AZE
Ghana,2020-07-16,26125,22270,139,695,Ghana,GHA
Ireland,2020-07-16,25698,23364,1749,15,Ireland,IRL
Japan,2020-07-16,23510,18641,985,338,Japan,JPN
Algeria,2020-07-16,21355,15107,1052,585,Algeria,DZA
Moldova,2020-07-16,20264,13640,666,224,Moldova,MDA
Serbia,2020-07-16,19717,14417,442,383,Serbia,SRB
Austria,2020-07-16,19270,17244,711,116,Austria,AUT
Nepal,2020-07-16,17344,11249,39,167,Nepal,NPL
Morocco,2020-07-16,16545,13965,263,283,Morocco,MAR
Cameroon,2020-07-16,16157,0,373,984,Cameroon,CMR
Uzbekistan,2020-07-16,15066,8783,75,485,Uzbekistan,UZB
"Korea, South",2020-07-16,13672,12460,293,60,NA,NA
Czechia,2020-07-16,13612,0,355,137,Czech Republic,CZE
Cote d'Ivoire,2020-07-16,13554,7363,87,151,Cote d'Ivoire,CIV
Denmark,2020-07-16,13325,12396,610,32,Denmark,DNK
Kyrgyzstan,2020-07-16,12498,3735,167,216,NA,NA
Kenya,2020-07-16,11673,3638,217,421,Kenya,KEN
Australia,2020-07-16,11233,8114,116,423,Australia,AUS
El Salvador,2020-07-16,10957,6257,298,312,El Salvador,SLV
Venezuela,2020-07-16,10854,3255,104,426,NA,NA
Sudan,2020-07-16,10527,5601,668,0,Sudan,SDN
Costa Rica,2020-07-16,9546,2673,42,560,Costa Rica,CRI
Norway,2020-07-16,9015,8138,254,4,Norway,NOR
Malaysia,2020-07-16,8737,8538,122,3,Malaysia,MYS
North Macedonia,2020-07-16,8623,4565,401,93,"Macedonia, FYR",MKD
Senegal,2020-07-16,8481,5735,156,112,Senegal,SEN
Ethiopia,2020-07-16,8475,2430,148,294,Ethiopia,ETH
Congo (Kinshasa),2020-07-16,8199,4248,193,36,"Congo, Dem. Rep.",COD
Bulgaria,2020-07-16,8144,3927,293,267,Bulgaria,BGR
Bosnia and Herzegovina,2020-07-16,7681,3534,240,270,Bosnia and Herzegovina,BIH
West Bank and Gaza,2020-07-16,7412,1313,51,348,West Bank and Gaza,PSE
Finland,2020-07-16,7293,6880,328,-3,Finland,FIN
Haiti,2020-07-16,6948,3606,145,117,Haiti,HTI
Tajikistan,2020-07-16,6741,5431,56,46,Tajikistan,TJK
Guinea,2020-07-16,6359,5012,39,83,Guinea,GIN
Gabon,2020-07-16,6121,3664,46,0,Gabon,GAB
Madagascar,2020-07-16,6089,2951,53,484,Madagascar,MDG
Mauritania,2020-07-16,5659,2993,150,95,Mauritania,MRT
Luxembourg,2020-07-16,5285,4275,111,163,Luxembourg,LUX
Kosovo,2020-07-16,5237,2462,112,0,Kosovo,XKX
Djibouti,2020-07-16,4993,4796,56,8,NA,NA
Central African Republic,2020-07-16,4373,1265,53,11,Central African Republic,CAF
Hungary,2020-07-16,4279,3156,595,16,Hungary,HUN
Croatia,2020-07-16,4039,2729,120,86,Croatia,HRV
Greece,2020-07-16,3939,1374,193,29,Greece,GRC
Albania,2020-07-16,3851,2137,104,99,Albania,ALB
Paraguay,2020-07-16,3342,1379,27,144,Paraguay,PRY
Thailand,2020-07-16,3236,3095,58,4,Thailand,THA
Nicaragua,2020-07-16,3147,2282,99,0,Nicaragua,NIC
Somalia,2020-07-16,3106,1444,93,23,Somalia,SOM
Equatorial Guinea,2020-07-16,3071,842,51,0,Equatorial Guinea,GNQ
Maldives,2020-07-16,2899,2339,15,68,Maldives,MDV
Malawi,2020-07-16,2712,1073,51,98,Malawi,MWI
Sri Lanka,2020-07-16,2687,2007,11,16,Sri Lanka,LKA
Lebanon,2020-07-16,2599,1485,40,57,Lebanon,LBN
Cuba,2020-07-16,2440,2285,87,2,NA,NA
Mali,2020-07-16,2440,1777,121,7,Mali,MLI
Congo (Brazzaville),2020-07-16,2358,589,48,136,"Congo, Rep.",COG
South Sudan,2020-07-16,2171,1175,41,18,NA,NA
Estonia,2020-07-16,2016,1904,69,0,Estonia,EST
Slovakia,2020-07-16,1951,1514,28,24,NA,NA
Iceland,2020-07-16,1914,1892,10,3,Iceland,ISL
Guinea-Bissau,2020-07-16,1902,773,26,60,Guinea-Bissau,GNB
Lithuania,2020-07-16,1902,1593,79,20,Lithuania,LTU
Slovenia,2020-07-16,1897,1522,111,19,Slovenia,SVN
Zambia,2020-07-16,1895,1412,42,0,Zambia,ZMB
Cabo Verde,2020-07-16,1894,902,19,114,Cabo Verde,CPV
Sierra Leone,2020-07-16,1678,1213,64,10,Sierra Leone,SLE
Libya,2020-07-16,1652,379,46,63,NA,NA
Eswatini,2020-07-16,1552,736,21,63,Swaziland,SWZ
Yemen,2020-07-16,1552,695,438,26,NA,NA
New Zealand,2020-07-16,1549,1506,22,1,New Zealand,NZL
Rwanda,2020-07-16,1473,770,4,38,Rwanda,RWA
Benin,2020-07-16,1463,557,28,85,Benin,BEN
Mozambique,2020-07-16,1383,0,9,53,Mozambique,MOZ
Zimbabwe,2020-07-16,1362,425,23,273,Zimbabwe,ZWE
Tunisia,2020-07-16,1327,1093,50,8,Tunisia,TUN
Montenegro,2020-07-16,1287,330,24,0,Montenegro,MNE
Jordan,2020-07-16,1206,1019,10,5,Jordan,JOR
Latvia,2020-07-16,1179,1022,31,1,Latvia,LVA
Niger,2020-07-16,1102,993,69,2,Niger,NER
Liberia,2020-07-16,1070,486,68,14,Liberia,LBR
Uganda,2020-07-16,1051,1014,0,8,Uganda,UGA
Burkina Faso,2020-07-16,1038,882,53,0,Burkina Faso,BFA
Namibia,2020-07-16,1032,31,2,72,Namibia,NAM
Cyprus,2020-07-16,1031,845,19,6,Cyprus,CYP
Uruguay,2020-07-16,1026,916,32,17,Uruguay,URY
Georgia,2020-07-16,1006,883,15,2,Georgia,GEO
Suriname,2020-07-16,904,581,18,67,Suriname,SUR
Chad,2020-07-16,886,799,75,1,Chad,TCD
Andorra,2020-07-16,877,803,52,15,Andorra,AND
Jamaica,2020-07-16,765,647,10,2,Jamaica,JAM
Togo,2020-07-16,749,543,15,9,Togo,TGO
Sao Tome and Principe,2020-07-16,740,325,14,3,Sao Tome and Principe,STP
San Marino,2020-07-16,699,656,42,0,San Marino,SMR
Malta,2020-07-16,674,661,9,0,Malta,MLT
Angola,2020-07-16,607,124,28,31,Angola,AGO
Botswana,2020-07-16,522,48,1,123,Botswana,BWA
Tanzania,2020-07-16,509,183,21,0,Tanzania,TZA
Syria,2020-07-16,477,0,22,19,NA,NA
Taiwan*,2020-07-16,451,440,7,0,NA,NA
Vietnam,2020-07-16,381,356,0,0,Vietnam,VNM
Mauritius,2020-07-16,343,331,10,0,Mauritius,MUS
Burma,2020-07-16,339,270,6,2,NA,NA
Comoros,2020-07-16,328,311,7,7,Comoros,COM
Guyana,2020-07-16,315,156,19,2,Guyana,GUY
Burundi,2020-07-16,303,207,1,34,Burundi,BDI
Mongolia,2020-07-16,262,211,0,1,Mongolia,MNG
Lesotho,2020-07-16,256,48,3,0,Lesotho,LSO
Eritrea,2020-07-16,251,149,0,19,NA,NA
Cambodia,2020-07-16,171,133,0,5,Cambodia,KHM
Brunei,2020-07-16,141,138,3,0,NA,NA
Trinidad and Tobago,2020-07-16,133,124,8,0,Trinidad and Tobago,TTO
Bahamas,2020-07-16,124,91,11,5,"Bahamas, The",BHS
Monaco,2020-07-16,109,98,4,0,NA,NA
Seychelles,2020-07-16,108,27,0,8,Seychelles,SYC
Barbados,2020-07-16,104,90,7,0,Barbados,BRB
Bhutan,2020-07-16,86,78,0,2,Bhutan,BTN
Liechtenstein,2020-07-16,84,81,1,0,NA,NA
Gambia,2020-07-16,78,34,3,14,"Gambia, The",GMB
Antigua and Barbuda,2020-07-16,74,57,3,0,Antigua and Barbuda,ATG
Belize,2020-07-16,40,22,2,1,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-16,35,29,0,0,NA,NA
Fiji,2020-07-16,26,18,0,0,Fiji,FJI
Timor-Leste,2020-07-16,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-16,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-16,23,19,0,1,NA,NA
Laos,2020-07-16,19,0,0,0,NA,NA
Dominica,2020-07-16,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-16,17,15,0,0,NA,NA
Holy See,2020-07-16,12,12,0,0,NA,NA
Papua New Guinea,2020-07-16,11,8,0,0,Papua New Guinea,PNG
Western Sahara,2020-07-16,10,8,1,0,NA,NA
