country_region,date,confirmed_sum,recovered_sum,deaths_sum,New Case
Afghanistan,2020-07-16,35070,22824,1113,76
Albania,2020-07-16,3851,2137,104,99
Algeria,2020-07-16,21355,15107,1052,585
Andorra,2020-07-16,877,803,52,15
Angola,2020-07-16,607,124,28,31
Antigua and Barbuda,2020-07-16,74,57,3,0
Argentina,2020-07-16,114783,49120,2112,3637
Armenia,2020-07-16,33559,21931,607,554
Australia,2020-07-16,11233,8114,116,423
Austria,2020-07-16,19270,17244,711,116
Azerbaijan,2020-07-16,26165,17256,334,493
Bahamas,2020-07-16,124,91,11,5
Bahrain,2020-07-16,35084,30809,121,524
Bangladesh,2020-07-16,196323,106963,2496,2733
Barbados,2020-07-16,104,90,7,0
Belarus,2020-07-16,65623,56915,485,180
Belgium,2020-07-16,63238,17253,9795,366
Belize,2020-07-16,40,22,2,1
Benin,2020-07-16,1463,557,28,85
Bhutan,2020-07-16,86,78,0,2
Bolivia,2020-07-16,54156,16979,1984,1938
Bosnia and Herzegovina,2020-07-16,7681,3534,240,270
Botswana,2020-07-16,522,48,1,123
Brazil,2020-07-16,2012151,1397531,76688,45403
Brunei,2020-07-16,141,138,3,0
Bulgaria,2020-07-16,8144,3927,293,267
Burkina Faso,2020-07-16,1038,882,53,0
Burma,2020-07-16,339,270,6,2
Burundi,2020-07-16,303,207,1,34
Cabo Verde,2020-07-16,1894,902,19,114
Cambodia,2020-07-16,171,133,0,5
Cameroon,2020-07-16,16157,0,373,984
Canada,2020-07-16,111144,0,8875,451
Central African Republic,2020-07-16,4373,1265,53,11
Chad,2020-07-16,886,799,75,1
Chile,2020-07-16,323698,295301,7290,2493
China,2020-07-16,85314,78241,4644,68
Colombia,2020-07-16,165169,71736,6164,5271
Comoros,2020-07-16,328,311,7,7
Congo (Brazzaville),2020-07-16,2358,589,48,136
Congo (Kinshasa),2020-07-16,8199,4248,193,36
Costa Rica,2020-07-16,9546,2673,42,560
Cote d'Ivoire,2020-07-16,13554,7363,87,151
Croatia,2020-07-16,4039,2729,120,86
Cuba,2020-07-16,2440,2285,87,2
Cyprus,2020-07-16,1031,845,19,6
Czechia,2020-07-16,13612,0,355,137
Denmark,2020-07-16,13325,12396,610,32
Djibouti,2020-07-16,4993,4796,56,8
Dominica,2020-07-16,18,18,0,0
Dominican Republic,2020-07-16,48743,23636,941,1072
Ecuador,2020-07-16,71365,31260,5207,1036
Egypt,2020-07-16,85771,26691,4120,928
El Salvador,2020-07-16,10957,6257,298,312
Equatorial Guinea,2020-07-16,3071,842,51,0
Eritrea,2020-07-16,251,149,0,19
Estonia,2020-07-16,2016,1904,69,0
Eswatini,2020-07-16,1552,736,21,63
Ethiopia,2020-07-16,8475,2430,148,294
Fiji,2020-07-16,26,18,0,0
Finland,2020-07-16,7293,6880,328,-3
France,2020-07-16,211102,79161,30141,534
Gabon,2020-07-16,6121,3664,46,0
Gambia,2020-07-16,78,34,3,14
Georgia,2020-07-16,1006,883,15,2
Germany,2020-07-16,201450,186400,9087,560
Ghana,2020-07-16,26125,22270,139,695
Greece,2020-07-16,3939,1374,193,29
Grenada,2020-07-16,23,0,0,0
Guatemala,2020-07-16,32939,4807,1404,865
Guinea,2020-07-16,6359,5012,39,83
Guinea-Bissau,2020-07-16,1902,773,26,60
Guyana,2020-07-16,315,156,19,2
Haiti,2020-07-16,6948,3606,145,117
Holy See,2020-07-16,12,12,0,0
Honduras,2020-07-16,30867,3420,835,831
Hungary,2020-07-16,4279,3156,595,16
Iceland,2020-07-16,1914,1892,10,3
India,2020-07-16,1003832,635757,25602,34975
Indonesia,2020-07-16,81668,40345,3873,1574
Iran,2020-07-16,267061,230608,13608,2500
Iraq,2020-07-16,86148,54316,3522,2281
Ireland,2020-07-16,25698,23364,1749,15
Israel,2020-07-16,46059,20370,384,1871
Italy,2020-07-16,243736,196246,35017,230
Jamaica,2020-07-16,765,647,10,2
Japan,2020-07-16,23510,18641,985,338
Jordan,2020-07-16,1206,1019,10,5
Kazakhstan,2020-07-16,66895,40256,375,1707
Kenya,2020-07-16,11673,3638,217,421
"Korea, South",2020-07-16,13672,12460,293,60
Kosovo,2020-07-16,5237,2462,112,0
Kuwait,2020-07-16,57668,47545,402,791
Kyrgyzstan,2020-07-16,12498,3735,167,216
Laos,2020-07-16,19,0,0,0
Latvia,2020-07-16,1179,1022,31,1
Lebanon,2020-07-16,2599,1485,40,57
Lesotho,2020-07-16,256,48,3,0
Liberia,2020-07-16,1070,486,68,14
Libya,2020-07-16,1652,379,46,63
Liechtenstein,2020-07-16,84,81,1,0
Lithuania,2020-07-16,1902,1593,79,20
Luxembourg,2020-07-16,5285,4275,111,163
Madagascar,2020-07-16,6089,2951,53,484
Malawi,2020-07-16,2712,1073,51,98
Malaysia,2020-07-16,8737,8538,122,3
Maldives,2020-07-16,2899,2339,15,68
Mali,2020-07-16,2440,1777,121,7
Malta,2020-07-16,674,661,9,0
Mauritania,2020-07-16,5659,2993,150,95
Mauritius,2020-07-16,343,331,10,0
Mexico,2020-07-16,324041,257681,37574,6406
Moldova,2020-07-16,20264,13640,666,224
Monaco,2020-07-16,109,98,4,0
Mongolia,2020-07-16,262,211,0,1
Montenegro,2020-07-16,1287,330,24,0
Morocco,2020-07-16,16545,13965,263,283
Mozambique,2020-07-16,1383,0,9,53
Namibia,2020-07-16,1032,31,2,72
Nepal,2020-07-16,17344,11249,39,167
Netherlands,2020-07-16,51572,194,6156,101
New Zealand,2020-07-16,1549,1506,22,1
Nicaragua,2020-07-16,3147,2282,99,0
Niger,2020-07-16,1102,993,69,2
Nigeria,2020-07-16,34854,14292,769,595
