state,date,new_case_sum,confirmed_sum,deaths_sum
Alabama,2020-07-18,2143,65234,1286
Alaska,2020-07-18,62,1796,18
Arizona,2020-07-18,2742,141265,2730
Arkansas,2020-07-18,771,32533,357
California,2020-07-18,7486,380745,7702
Colorado,2020-07-18,444,39770,1752
Connecticut,2020-07-18,0,47893,4396
Delaware,2020-07-18,92,13429,523
Florida,2020-07-18,10328,337569,4895
Georgia,2020-07-18,4688,139880,3169
Hawaii,2020-07-18,20,1354,24
Idaho,2020-07-18,550,14303,119
Illinois,2020-07-18,1276,161785,7483
Indiana,2020-07-18,841,55654,2820
Iowa,2020-07-18,410,38313,789
Kansas,2020-07-18,305,21693,308
Kentucky,2020-07-18,579,22184,667
Louisiana,2020-07-18,0,88590,3509
Maine,2020-07-18,9,3645,117
Maryland,2020-07-18,835,77206,3368
Massachusetts,2020-07-18,359,113238,8419
Michigan,2020-07-18,745,81338,6364
Minnesota,2020-07-18,457,45470,1578
Mississippi,2020-07-18,1017,41846,1346
Missouri,2020-07-18,966,32704,1136
Montana,2020-07-18,105,2471,37
Nebraska,2020-07-18,120,22481,301
Nevada,2020-07-18,1182,34477,646
New Hampshire,2020-07-18,23,6188,396
New Jersey,2020-07-18,263,176814,15699
New Mexico,2020-07-18,280,16736,569
New York,2020-07-18,754,406305,32478
North Carolina,2020-07-18,2522,98092,1648
North Dakota,2020-07-18,115,4907,90
Ohio,2020-07-18,1541,73821,3132
Oklahoma,2020-07-18,917,25057,451
Oregon,2020-07-18,347,14149,257
Pennsylvania,2020-07-18,701,104780,7015
Rhode Island,2020-07-18,0,17793,990
South Carolina,2020-07-18,1552,67612,1135
South Dakota,2020-07-18,73,7862,116
Tennessee,2020-07-18,2517,76336,838
Texas,2020-07-18,9338,327106,3939
Utah,2020-07-18,760,33332,243
Vermont,2020-07-18,4,1338,56
Virginia,2020-07-18,940,76373,2025
Washington,2020-07-18,959,46026,1444
West Virginia,2020-07-18,111,4894,100
Wisconsin,2020-07-18,978,41485,843
Wyoming,2020-07-18,39,2108,24
